Nome,Calorias,Carboidratos,Proteinas,Sodio,Gluten,Lactose,Gorduras
Arroz,130.0,28.0,2.5,0.0,Não,Não,0.2
Feijão,347.0,63.0,21.0,0.0,Não,Não,0.8
Leite,42.0,5.0,3.4,44.0,Não,Sim,1.0
Pão,265.0,49.0,9.0,491.0,Sim,Não,3.2
Maçã,52.0,14.0,0.3,1.0,Não,Não,0.2
Banana,96.0,27.0,1.3,1.0,Não,Não,0.3
Frango,239.0,0.0,27.0,82.0,Não,Não,14.0
Queijo,402.0,1.3,25.0,621.0,Não,Sim,33.0
Ovo,155.0,1.1,13.0,124.0,Não,Não,11.0
Tomate,18.0,3.9,0.9,5.0,Não,Não,0.2
